Target No.,Receptor,Group,Protein,top10_freq,top20_freq,median_rank,rank_min,rank_max,rank_range
5,ICAM1 / CD54,3,FN1,0.0,0.0,188,115,199,84
11,LIV-1 / SLC39A6,3,ANXA2,0.0,0.0,189,122,200,78
7,MUC1,7,PKM,0.0,0.0,192,156,199,43
7,MUC1,5,THBS1,0.0,0.0,193,162,200,38
11,LIV-1 / SLC39A6,2,BSG,0.0,0.0,193,169,200,31
7,MUC1,1,LGALS3BP,0.0,0.0,194,124,197,73
7,MUC1,8,TPI1,0.0,0.0,196,109,200,91
11,LIV-1 / SLC39A6,5,SDCBP,0.0,0.0,196,137,200,63
7,MUC1,4,MFGE8,0.0,0.0,197,119,200,81
7,MUC1,10,EEF1A1,0.0,0.0,197,116,199,83
7,MUC1,2,ANXA2,0.0,0.0,199,160,200,40
