Target No.,Protein,equal_.33/.33/.33,0.50/0.30/0.20,0.50/0.20/0.30,0.40/0.35/0.25,0.40/0.30/0.30
11,LDHA,0.2253291289531135,0.24226747179745245,0.25436628811483747,0.22984602037827054,0.2350081820070215
11,PGK1,0.1756094353775239,0.19648149119160185,0.21139010248737183,0.18117531692794472,0.1875363244141399
11,ALDOA,0.267394007460381,0.267394007460381,0.267394007460381,0.267394007460381,0.267394007460381
11,PKM,0.18543875431434026,0.21725298834747075,0.23997744122827833,0.1939225500565084,0.2036183166189863
12,LGALS3BP,0.2765000526585677,0.28683718703533084,0.29422085444730456,0.2792566218257046,0.28240698658814667
12,ANXA2,0.27181659524820223,0.3185586228481316,0.35194578541950977,0.2842811359415167,0.29852632530530476
12,SDCBP,0.31857594740342177,0.3745835706179136,0.4145890157711221,0.333511313593953,0.35058030352598857
12,FN1,0.4167528972458783,0.31678985320839764,0.35844112155734786,0.3629266427641579,0.3834318825667181
12,MFGE8,0.27581852963838593,0.3017428590176794,0.3202602371457462,0.2827316841395309,0.2906324321408394
12,GAPDH,0.3227557242159151,0.2898396469299333,0.3384426772329636,0.29500838421061326,0.3193098993621284
12,ENO1,0.346904858011743,0.3918128906964969,0.4238900568998926,0.358880333394344,0.37256659097445954
12,LDHA,0.2919663088921228,0.28336461485333575,0.30782219061091143,0.2811883585493352,0.2934171464281231
12,PGK1,0.4012969691278138,0.38525757504613084,0.37380086498778603,0.3970197973726983,0.3921316010811379
12,TPI1,0.5406014014160783,0.6381759941943402,0.7078721318930989,0.5666212928236148,0.5963583115750852
13,FN1,0.6388471642513774,0.48449594893053927,0.5488089553142218,0.5557349713863107,0.5873967591444315
13,ITGB1,0.4780642275344671,0.3849054322107917,0.4580599776653371,0.41885434576863334,0.455431618495906
13,MFGE8,0.3412168784658209,0.3086798631532769,0.3376071358805496,0.3195238905226215,0.3339875268862579
13,THBS1,0.5631352509353876,0.49920893700914215,0.5182119673121725,0.5318638162739804,0.5413653314254955
